Imagen,ID,X,Y,Width,Height,Área,Perímetro,Circularidad,Contraste,Energía,Homogeneidad,Cluster Shade,Cluster Prominencia,Correlación Haralick,Entropía
1.png,14,499,821,92,100,6826,313.2203444,0.874331696,32.43120879,0.087791401,0.512901766,384426.8543,93283957.9,0.990193081,9.026861173
1.png,15,969,817,111,90,7047,324.1909062,0.842582585,35.46434343,0.192467531,0.684072138,1359700.626,461319733.8,0.995929097,7.476825186
1.png,16,1245,815,129,116,11098,397.7888854,0.8813518,34.19140625,0.077873677,0.505807831,333349.1328,198922934,0.993643673,9.836484774
1.png,17,413,814,96,104,7225.5,330.977703,0.828858307,33.65334008,0.122806172,0.545984841,1273383.75,425400382.9,0.995626176,8.726297723
1.png,18,295,811,118,119,10761,390.3330407,0.887548033,18.19607843,0.104074653,0.511394485,51961.84958,61818419.54,0.994516948,8.902455868
1.png,19,155,776,113,112,9641,368.6761866,0.891336669,25.12061543,0.117461209,0.505288444,172057.4191,124688486.5,0.994223032,9.146202498
1.png,20,44,776,92,101,7285.5,320.4924213,0.891320096,46.57991513,0.124895652,0.536697831,834922.2745,252726396.1,0.99185151,8.957766174
1.png,21,1137,772,97,96,7217.5,315.8061295,0.90940125,35.75737847,0.112745582,0.504173426,257080.9295,143116343.6,0.992298252,9.135275144
1.png,22,1326,761,106,106,7810,334.4751775,0.877269665,25.66127583,0.068827986,0.449486369,216480.8869,165228399.1,0.994532799,9.979694494
1.png,23,1580,749,20,95,1246.5,206.6690466,0.366734084,93.44044321,0.101565768,0.371329739,367603.8122,229069882.6,0.985156099,8.8301069
1.png,24,682,723,144,156,14537,498.4163023,0.735360295,44.11265017,0.262470215,0.506244649,227131.8421,1378624366,0.997193636,9.227169891
1.png,25,887,721,119,106,9632.5,369.2619743,0.887727568,37.42620723,0.102451598,0.458979242,117560.7147,145880775,0.992376114,9.536212077
1.png,26,1106,697,104,69,5274.5,288.6934328,0.795275038,17.01210075,0.095534998,0.620520637,1072098.164,296937591.4,0.996795476,8.600095325
1.png,27,410,687,115,119,10557.5,386.5756829,0.887772914,30.07282913,0.116432375,0.480155809,-222572.5808,134022820.4,0.993304022,9.336638147
1.png,28,0,685,21,79,1155,176.0832604,0.468118393,91.13607595,0.136123042,0.52535777,536490.7775,134002902.3,0.980111684,7.516877957
1.png,29,1233,650,135,110,11364.5,403.4041101,0.877565537,30.12265943,0.12584368,0.509629394,-13332.51162,102131948.3,0.992543878,9.160340858
1.png,30,135,649,124,116,10988.5,394.5756828,0.886926525,33.51471825,0.138959964,0.522906694,232215.3825,138757296.2,0.992671451,9.167912584
1.png,31,264,635,106,115,9268.5,361.261974,0.892431348,28.84281573,0.124289824,0.515274875,88213.97657,165984152.5,0.993856699,9.303788064
